ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
10,SBST,1,1,75009,0,500,2300,500,2300,500,2300
,,,,,,,,,,,
10,SBST,1,2,76059,0.6,502,2302,502,2302,502,2302
,,,,,,,,,,,
10,SBST,1,3,76069,1.1,504,2304,504,2304,503,2304
,,,,,,,,,,,
10,SBST,1,4,96289,2.3,508,2308,508,2309,507,2308
,,,,,,,,,,,
10,SBST,1,5,96109,2.7,509,2310,509,2311,508,2309
,,,,,,,,,,,
10,SBST,1,6,85079,3.3,511,2312,511,2313,510,2311
,,,,,,,,,,,
10,SBST,1,7,85089,3.5,512,2313,512,2314,511,2312
,,,,,,,,,,,
10,SBST,1,8,85069,3.8,513,2314,513,2315,512,2313
,,,,,,,,,,,
10,SBST,1,9,85059,4.1,514,2315,514,2316,513,2314
,,,,,,,,,,,
10,SBST,1,10,85049,4.5,515,2316,515,2317,514,2315
,,,,,,,,,,,
10,SBST,1,11,85039,4.8,517,2318,517,2319,516,2317
,,,,,,,,,,,
10,SBST,1,12,85029,5,517,2318,517,2319,516,2317
,,,,,,,,,,,
10,SBST,1,13,85019,5.2,518,2319,518,2320,517,2318
,,,,,,,,,,,
10,SBST,1,14,94079,5.4,519,2320,519,2321,518,2319
,,,,,,,,,,,
10,SBST,1,15,94069,5.8,520,2321,520,2322,519,2320
,,,,,,,,,,,
10,SBST,1,16,94059,6.1,521,2322,521,2323,520,2321
,,,,,,,,,,,
10,SBST,1,17,94049,6.5,522,2323,522,2324,521,2322
,,,,,,,,,,,
10,SBST,1,18,94089,6.7,522,2323,522,2324,521,2323
,,,,,,,,,,,
10,SBST,1,19,94039,7,523,2324,523,2325,522,2324
,,,,,,,,,,,
10,SBST,1,20,94029,7.4,524,2325,524,2326,523,2325
,,,,,,,,,,,
10,SBST,1,21,94019,7.6,525,2325,525,2326,524,2326
,,,,,,,,,,,
10,SBST,1,22,93099,8,526,2326,526,2327,525,2327
,,,,,,,,,,,
10,SBST,1,23,93089,8.5,527,2327,527,2328,526,2329
,,,,,,,,,,,
10,SBST,1,24,93079,8.8,528,2328,528,2329,527,2330
,,,,,,,,,,,
10,SBST,1,25,93069,9.1,529,2329,529,2330,528,2331
,,,,,,,,,,,
10,SBST,1,26,93059,9.5,530,2330,530,2331,529,2332
,,,,,,,,,,,
10,SBST,1,27,92159,9.8,531,2331,531,2332,530,2333
,,,,,,,,,,,
10,SBST,1,28,92149,10.1,533,2332,532,2333,531,2334
,,,,,,,,,,,
10,SBST,1,29,92139,10.4,534,2332,532,2334,531,2335
,,,,,,,,,,,
10,SBST,1,30,92129,10.9,535,2334,534,2336,533,2337
,,,,,,,,,,,
10,SBST,1,31,92119,11.4,537,2335,535,2337,534,2338
,,,,,,,,,,,
10,SBST,1,32,92109,11.6,538,2336,536,2338,535,2339
,,,,,,,,,,,
10,SBST,1,33,92099,11.9,539,2336,536,2339,535,2339
,,,,,,,,,,,
10,SBST,1,34,92161,12.4,541,2338,538,2341,537,2341
,,,,,,,,,,,
10,SBST,1,35,82071,12.8,542,2339,539,2342,538,2342
,,,,,,,,,,,
10,SBST,1,36,81199,13.6,543,2341,541,2344,540,2344
,,,,,,,,,,,
10,SBST,1,37,81189,13.9,544,2341,541,2345,540,2344
,,,,,,,,,,,
10,SBST,1,38,81179,14.4,545,2342,542,2346,541,2345
,,,,,,,,,,,
10,SBST,1,39,80141,15,546,2343,544,2347,543,2347
,,,,,,,,,,,
10,SBST,1,40,80219,15.7,547,2345,546,2349,545,2349
,,,,,,,,,,,
10,SBST,1,41,80169,17.1,550,2348,549,2353,548,2352
,,,,,,,,,,,
10,SBST,1,42,80159,17.8,552,2350,551,2355,550,2353
,,,,,,,,,,,
10,SBST,1,43,2119,18.3,553,2351,552,2356,551,2354
,,,,,,,,,,,
10,SBST,1,44,3019,19.3,556,2354,554,2359,553,2356
,,,,,,,,,,,
10,SBST,1,45,3059,19.6,557,2355,555,2400,554,2357
